COMPANY NAME,CITY,STATE,ZIP CODE,STREET ADDRESS CITY,STREET ADDRESS,STREET ADDRESS ZIP,COUNTY,PHONE NUMBER,FAX NUMBER,WEB ADDRESS,LAST NAME,FIRST NAME,CONTACT TITLE,CONTACT GENDER,ACTUAL EMPLOYEE SIZE,EMPLOYEE SIZE RANGE,ACTUAL SALES VOLUME,SALES VOLUME RANGE,Industry,PRIMARY SIC,PRIMARY SIC DESCRIPTION,SECONDARY SIC #1,SECONDARY SIC DESCRIPTION #1,SECONDARY SIC #2,SECONDARY SIC DESCRIPTION #2,CREDIT ALPHA SCORE,CREDIT NUMERIC SCORE,HEADQUARTERS/BRANCH,SQUARE FOOTAGE
North American Coal Corp,Dallas,TX,75254-7891,14785 Preston Rd # 1100,Dallas,75254-7891,Dallas,9.72E+09,9.72E+09,www.nacoal.com,Miercort,Clifford R,CEO,Male,900,500 to 999,2.89E+08,$100 - 500 Million,Mining,122102,Coal Mining & Shipping,122102,Coal Mining & Shipping,149901,Mining Companies,A+,100,Subsidiary,"40,000+"
Devon Energy Corp,Houston,TX,77002-4400,1200 Smith St # 3300,Houston,77002-4400,Harris,7.13E+09,7.13E+09,www.oceanenergy.com,Nichols,Larry,CEO,Male,900,500 to 999,1.37E+08,$100 - 500 Million,Mining,138203,Oil & Gas Exploration & Development,131101,Oil & Gas Producers,132198,Natural Gas Liquids,A+,100,Branch,"40,000+"
Enterprise Products Partners,Houston,TX,77210-4324,2727 North Loop W # 700,Houston,77008-1060,Harris,7.14E+09,7.14E+09,www.epplp.com,Phillips,Robert G,CEO,Male,898,500 to 999,8.32E+09,Over $1 Billion,Mining,132198,Natural Gas Liquids,132198,Natural Gas Liquids,492401,Gas-Natural,A+,100,Headquarter,"40,000+"
True Companies,Casper,WY,82602-2360,Casper,895 River Cross Rd,82601-1758,Natrona,3.07E+09,3.07E+09,www.truecos.net,TRUE,Jean,Owner,Female,875,500 to 999,0,,Mining,131101,Oil & Gas Producers,131101,Oil & Gas Producers,138102,Oil Well Drilling,A+,100,Headquarter,"40,000+"
Western Gas Resources Inc,Denver,CO,80202-1964,Denver,1099 18th St # 1200,80202-1964,Denver,3.03E+09,3.03E+09,www.westerngas.com,Dea,Peter A,CEO,Male,800,500 to 999,3.96E+09,Over $1 Billion,Mining,131101,Oil & Gas Producers,131101,Oil & Gas Producers,132198,Natural Gas Liquids,A+,100,Headquarter,"40,000+"
Strategic Minerals Corp,Danbury,CT,06810-3045,Danbury,30 Main St # 300,06810-3045,Fairfield,2.04E+09,2.04E+09,www.stratcor.com,Enslin,Hein,CEO,Male,800,500 to 999,61200000,$50 - 100 Million,Mining,149901,Mining Companies,149901,Mining Companies,,,A+,98,Headquarter,"10,000 - 39,999"
Stillwater Mining Co,Nye,MT,59061-8000,2562 Nye Rd,Nye,59061-8000,Stillwater,4.06E+09,4.06E+09,www.stillwatermining.com,Mccallister,Frank,CEO,Male,800,500 to 999,58600000,$50 - 100 Million,Mining,149901,Mining Companies,149901,Mining Companies,,,A+,100,Branch,"40,000+"
Occidental Petroleum Corp,Tupman,CA,93276-1001,Tupman,28590 Hwy 119,93276 0000,Kern,6.62E+09,,www.oxy.com,Romine,Don,President,Male,750,500 to 999,1.16E+08,$100 - 500 Million,Mining,138203,Oil & Gas Exploration & Development,131101,Oil & Gas Producers,138905,Oil Field Service,A+,100,Branch,"40,000+"
Frontier Oil Corp,Houston,TX,77024-3412,10000 Memorial Dr # 600,Houston,77024-3412,Harris,7.14E+09,7.14E+09,www.frontieroil.com,Gibbs,James R,CEO,Male,731,500 to 999,2.86E+09,Over $1 Billion,Mining,131101,Oil & Gas Producers,131101,Oil & Gas Producers,,,A+,100,Headquarter,"10,000 - 39,999"
Coeur D'Alene Mines Corp,Coeur D Alene,ID,83816-0316,Coeur D Alene,505 E Front Ave,83814-2755,Kootenai,2.09E+09,2.09E+09,www.coeur.com,Wheeler,Dennis E,CEO,Male,717,500 to 999,1.33E+08,$100 - 500 Million,Mining,149901,Mining Companies,149901,Mining Companies,874213,Marketing Programs & Services,A+,100,Headquarter,"10,000 - 39,999"
Doe Run Co,Viburnum,MO,65566-0500,Viburnum,1 Iron County Rd Bldg 2,65566 0000,Iron,5.73E+09,5.73E+09,www.doerun.com,Lane,Bill,Manager,Male,707,500 to 999,1.89E+08,$100 - 500 Million,Mining,149901,Mining Companies,103198,Lead & Zinc Ores,329598,Minerals/Earths-Ground Or Treated (Mfrs),A+,100,Branch,"40,000+"
Noble Energy Inc,Houston,TX,77067-3618,100 Glenborough Dr # 100,Houston,77067-3618,Harris,2.82E+09,2.82E+09,www.nobleenergyinc.com,Davidson,Charles D,CEO,Male,701,500 to 999,1.35E+09,Over $1 Billion,Mining,138203,Oil & Gas Exploration & Development,138203,Oil & Gas Exploration & Development,171131,Energy Management Systems & Products,A+,100,Headquarter,"10,000 - 39,999"
Glamis Gold LTD,Reno,NV,89502-8502,Reno,5190 Neil Rd # 310,89502-8502,Washoe,7.76E+09,7.76E+09,www.glamis.com,Mcarthur,C Kevin,CEO,Male,700,500 to 999,71400000,$50 - 100 Million,Mining,104198,Gold Ores,104198,Gold Ores,149901,Mining Companies,A+,100,Headquarter,"10,000 - 39,999"
Samson Investment Co,Tulsa,OK,74103-3123,Tulsa,2 W 2nd St,74103-3123,Tulsa,9.19E+09,9.19E+09,www.samsonind.com,Schusterman,Stacy,CEO,Female,700,500 to 999,0,,Mining,131101,Oil & Gas Producers,131101,Oil & Gas Producers,671901,Holding Companies (Non-Bank),A+,100,Headquarter,"40,000+"
Vintage Petroleum Inc,Tulsa,OK,74119-1017,Tulsa,110 W 7th St # 2300,74119-1017,Tulsa,9.19E+09,9.19E+09,www.vintagepetroleum.com,Stephenson Jr,Charles C,CEO,Male,700,500 to 999,7.78E+08,$500 Million - $1 Billion,Mining,138203,Oil & Gas Exploration & Development,131101,Oil & Gas Producers,874213,Marketing Programs & Services,A+,100,Subsidiary,"40,000+"
Amerada Hess Corp,Houston,TX,77252-2040,500 Dallas St # 200,Houston,77002-4800,Harris,7.14E+09,7.14E+09,www.hess.com,Strode,Bob,Sr VP,Male,700,500 to 999,7.10E+08,$500 Million - $1 Billion,Mining,131106,Oil Crude,131106,Oil Crude,823111,Special Interest Libraries,A+,100,Branch,"40,000+"
Adams Resources & Energy Inc,Houston,TX,77027-3417,4400 Post Oak Pkwy # 2700,Houston,77027-3417,Harris,7.14E+09,7.14E+09,www.adamsresources.com,Adams Jr,K S,CEO,Male,672,500 to 999,2.07E+09,Over $1 Billion,Mining,131101,Oil & Gas Producers,122102,Coal Mining & Shipping,138203,Oil & Gas Exploration & Development,A+,100,Headquarter,"40,000+"
Peabody Energy Corp,Kayenta,AZ,86033-0650,Kayenta,Navajo Route 41,86033 0000,Navajo,9.29E+09,9.29E+09,www.peabodyenergy.com,H Boyce,Gregory,CEO,Male,640,500 to 999,0,,Mining,122102,Coal Mining & Shipping,122102,Coal Mining & Shipping,,,A+,100,Subsidiary,"40,000+"
Phelps Dodge Miami Pinal Crk,Claypool,AZ,85532,Claypool,4242 E US Highway 60,85532 0000,Gila,9.28E+09,9.28E+09,www.phelpsdodge.com,Tittes,Allan,VP,Male,600,500 to 999,1.61E+08,$100 - 500 Million,Mining,149901,Mining Companies,149901,Mining Companies,,,B+,85,Single Loc,"40,000+"
Chevron Texaco Production Co,New Orleans,LA,70112-1644,New Orleans,935 Gravier St # 600,70112-1644,Orleans,5.05E+09,5.05E+09,www.chevrontexaco.com,Laniere,Doug,Exec VP,Male,600,500 to 999,6.08E+08,$500 Million - $1 Billion,Mining,131101,Oil & Gas Producers,131101,Oil & Gas Producers,,,A+,100,Branch,"40,000+"
Frank's Casing Crew,Lafayette,LA,70508-2502,Lafayette,700 E Verot School Rd,70508-2502,Lafayette,3.37E+09,3.37E+09,www.frankscasing.com,Mosing,Donald,Owner,Male,600,500 to 999,70000000,$50 - 100 Million,Mining,138905,Oil Field Service,138905,Oil Field Service,735937,Oil Well Equipment & Supplies-Renting,A+,98,Single Loc,"40,000+"
Key Energy Svc,Farmington,NM,87499-0900,Farmington,5651 Highway 64,87401-1558,San Juan,5.05E+09,5.05E+09,www.keyenergy.com,Stevens,Jerry,Manager,Male,600,500 to 999,93000000,$50 - 100 Million,Mining,138999,Oil & Gas-Field Services Nec,138905,Oil Field Service,421307,Trucking-Heavy Hauling,A+,100,Branch,"40,000+"
Horizon Offshore Inc,Houston,TX,77042-3031,2500 Citywest Blvd # 2200,Houston,77042-3031,Harris,7.13E+09,7.13E+09,www.horizonoffshore.com,Sharp,David W,CEO,Male,585,500 to 999,2.54E+08,$100 - 500 Million,Mining,138905,Oil Field Service,138905,Oil Field Service,138918,Offshore Platforms/Oil,A+,100,Headquarter,"40,000+"
Dawson Geophysical Co,Midland,TX,79701-5010,508 W Wall # 800,Midland,79701-5010,Midland,4.33E+09,4.33E+09,www.dawson3d.com,Dawson,L Decker,CEO,Male,567,500 to 999,69346000,$50 - 100 Million,Mining,138201,Seismograph Service,138201,Seismograph Service,382998,Measuring/Controlling Devices Nec (Mfrs),A+,100,Headquarter,"10,000 - 39,999"
CBRL Group Inc,Lebanon,TN,37088-0787,Lebanon,305 Hartman Dr,37087-2519,Wilson,6.15E+09,6.15E+09,www.cbrlgroup.com,Woodhouse,Michael A,CEO,Male,75029,10000+,2.57E+09,Over $1 Billion,"Finance, Insurance, Real Estate",671902,Restaurant Holding Companies,509905,Importers,581208,Restaurants,A+,100,Headquarter,"40,000+"
US Airways Group Inc,Arlington,VA,22202-4807,Arlington,2345 Crystal Dr,22202-4807,Arlington,7.04E+09,7.04E+09,www.usairways.com,Lakefield,Bruce R,CEO,Male,31700,10000+,7.12E+09,Over $1 Billion,"Finance, Insurance, Real Estate",671901,Holding Companies (Non-Bank),671901,Holding Companies (Non-Bank),874213,Marketing Programs & Services,C+,75,Headquarter,"40,000+"
AES Corp,Arlington,VA,22203-4167,Arlington,4300 Wilson Blvd,22203-4167,Arlington,7.04E+09,7.04E+09,www.aes.com,Hanrahan,Paul T,CEO,Male,30000,10000+,4.92E+09,Over $1 Billion,"Finance, Insurance, Real Estate",671904,Utilities-Holding Companies,491101,Electric Companies,874212,Energy Conservation & Mgmt Consultants,A+,100,Headquarter,"40,000+"
Landry's Restaurants Inc,Houston,TX,77027-9505,1510 West Loop S,Houston,77027-9505,Harris,7.14E+09,7.13E+09,www.landrysseafood.com,Fertitta,Tilman J,CEO,Male,26000,10000+,1.17E+09,Over $1 Billion,"Finance, Insurance, Real Estate",671902,Restaurant Holding Companies,581208,Restaurants,874213,Marketing Programs & Services,A+,100,Headquarter,"40,000+"
USAA,San Antonio,TX,78288-0002,9800 Fredericksburg Rd,San Antonio,78288-0002,Bexar,2.10E+09,2.10E+09,www.usaa.com,Davis,Robert G,CEO,Male,23000,10000+,1.13E+10,Over $1 Billion,"Finance, Insurance, Real Estate",641112,Insurance,633101,Insurance-Property & Casualty,641111,Insurance-Automobile,A+,100,Headquarter,"40,000+"
Capital One Financial Corp,Mc Lean,VA,22102-3406,Mc Lean,1680 Capital One Dr,22102-3406,Fairfax,7.04E+09,7.03E+09,www.capitalone.com,Fairbank,Richard D,CEO,Male,17760,10000+,5.37E+10,Over $1 Billion,"Finance, Insurance, Real Estate",671201,Holding Companies (Bank),603501,Savings & Loan Associations,615302,Credit Card & Other Credit Plans,A+,100,Headquarter,"40,000+"
Dominion Resources Inc,Richmond,VA,23261-6532,Richmond,120 Tredegar St,23219-4306,Richmond City,8.05E+09,8.05E+09,www.dom.com,Capps,Thomas E,CEO,Male,16700,10000+,1.40E+10,Over $1 Billion,"Finance, Insurance, Real Estate",671904,Utilities-Holding Companies,152112,Home Builders,492398,Natural Gas Transmission & Distribution,A+,100,Headquarter,"40,000+"
Long & Foster Co Inc,Fairfax,VA,22030-6081,Fairfax,11351 Random Hills Rd # 103,22030-6081,Fairfax City,7.03E+09,7.03E+09,www.longfoster.com,Foster Jr,P Wesley,CEO,Male,16100,10000+,5.63E+10,Over $1 Billion,"Finance, Insurance, Real Estate",653118,Real Estate,641112,Insurance,,,A+,100,Headquarter,"40,000+"
AIG American General,Houston,TX,77253-3247,2929 Allen Pkwy,Houston,77019-2155,Harris,7.14E+09,7.14E+09,www.americangeneral.com,Martin,Rod,CEO,Male,15900,10000+,0,,"Finance, Insurance, Real Estate",631198,Life Insurance (Underwriters),614101,Loans,628201,Retirement Planning Services,A+,100,Subsidiary,"40,000+"
TXU Corp,Dallas,TX,75201-3411,1601 Bryan St # 41,Dallas,75201-3411,Dallas,2.15E+09,2.15E+09,www.txu.com,Wilder,C John,CEO,Male,14235,10000+,9.31E+09,Over $1 Billion,"Finance, Insurance, Real Estate",671904,Utilities-Holding Companies,124198,Coal Mining Services,461398,Refined Petroleum Pipelines,A+,100,Headquarter,"40,000+"
Vanderbilt Mortgage & Finance,Maryville,TN,37802-9800,Maryville,500 Alcoa Trl,37804-5516,Blount,8.65E+09,8.65E+09,www.vmf.com,Clayton,Kevin T,CEO,Male,14000,10000+,0,,"Finance, Insurance, Real Estate",616201,Real Estate Loans,616201,Real Estate Loans,,,A+,100,Subsidiary,"2,500 - 9,999"
National Health Realty Inc,Murfreesboro,TN,37133-1102,Murfreesboro,100 Vine St # 1402,37130 0000,Rutherford,6.16E+09,6.16E+09,www.nationalhealthrealty.com,Adams,Robert G,President,Male,14000,10000+,19772000,$10 - 20 Million,"Finance, Insurance, Real Estate",679801,Real Estate Investment Trusts,653118,Real Estate,805102,Health Care Facilities,A+,100,Headquarter,"2,500 - 9,999"
Marshall & Ilsley Corp,Milwaukee,WI,53202-3509,Milwaukee,770 N Water St,53202-3509,Milwaukee,4.15E+09,4.15E+09,www.micorp.com,Kuester,Dennis J,CEO,Male,12244,10000+,4.04E+10,Over $1 Billion,"Finance, Insurance, Real Estate",671201,Holding Companies (Bank),509905,Importers,,,A+,100,Headquarter,"40,000+"
Land America Financial Group,Richmond,VA,23261-7567,Richmond,101 Gateway Centre Pkwy,23235-5136,Chesterfield,8.04E+09,8.04E+09,www.landam.com,Chandler Jr,Theodore L,CEO,Male,12124,10000+,3.52E+09,Over $1 Billion,"Finance, Insurance, Real Estate",636101,Insurance-Title,636101,Insurance-Title,654102,Title Companies,A+,100,Headquarter,"40,000+"
First Horizon National Corp,Memphis,TN,38101-0084,Memphis,165 Madison Ave,38103-2723,Shelby,9.02E+09,9.02E+09,www.firsthorizon.com,Glass,J Kenneth,CEO,Male,11494,10000+,2.45E+10,Over $1 Billion,"Finance, Insurance, Real Estate",602101,Banks,602101,Banks,671201,Holding Companies (Bank),A+,100,Headquarter,"2,500 - 9,999"
Unum Provident Corp,Chattanooga,TN,37402-1307,Chattanooga,1 Fountain Sq,37402-1307,Hamilton,4.23E+09,4.23E+09,www.unumprovident.com,Watjen,Thomas R,CEO,Male,11300,10000+,1.04E+10,Over $1 Billion,"Finance, Insurance, Real Estate",641133,Insurance-Holding Companies,631198,Life Insurance (Underwriters),641112,Insurance,A+,100,Headquarter,"40,000+"
Enron Corp,Houston,TX,77251-1188,1221 Lamar St # 1600,Houston,77010-3039,Harris,7.14E+09,7.14E+09,www.enron.com,Cooper,Stephen F,CEO,Male,10100,10000+,1.01E+11,Over $1 Billion,"Finance, Insurance, Real Estate",621111,Investments,492401,Gas-Natural,509905,Importers,C,73,Headquarter,"2,500 - 9,999"
Texas Pacific Group,Fort Worth,TX,76102-4133,301 Commerce St # 3300,Fort Worth,76102-4133,Tarrant,8.18E+09,8.18E+09,www.greensale.com,Bonderman,David,CEO,Male,9376,5000 to 9999,0,,"Finance, Insurance, Real Estate",621111,Investments,621111,Investments,,,A,94,Headquarter,"2,500 - 9,999"
Wisconsin Energy Corp,Milwaukee,WI,53201-1331,Milwaukee,231 W Michigan St,53203-2918,Milwaukee,4.14E+09,4.14E+09,www.wisconsinenergy.com,Klappa,Gale E,CEO,Male,8991,5000 to 9999,3.43E+09,Over $1 Billion,"Finance, Insurance, Real Estate",671904,Utilities-Holding Companies,491101,Electric Companies,492398,Natural Gas Transmission & Distribution,A+,100,Headquarter,"40,000+"
Alliant Energy Corp,Madison,WI,53718-2148,Madison,4902 N Biltmore Ln,53718-2148,Dane,6.08E+09,6.08E+09,www.alliantenergy.com,Davis Jr,Erroll B,CEO,Male,8943,5000 to 9999,2.96E+09,Over $1 Billion,"Finance, Insurance, Real Estate",671904,Utilities-Holding Companies,124198,Coal Mining Services,171131,Energy Management Systems & Products,A+,100,Headquarter,"40,000+"
American Family Insurance,Madison,WI,53783-0001,Madison,6000 American Pkwy,53783-0002,Dane,6.08E+09,6.08E+09,www.amfam.com,Pierce,Harvey R,CEO,Male,8300,5000 to 9999,6.65E+09,Over $1 Billion,"Finance, Insurance, Real Estate",641112,Insurance,614101,Loans,628203,Financial Advisory Services,A+,100,Headquarter,"40,000+"
Wachovia Securities LLC,Richmond,VA,23218-1357,Richmond,901 E Byrd St,23219-4052,Richmond City,8.05E+09,8.05E+09,www.first-for-independents.com,Ludeman,Daniel,CEO,Male,8100,5000 to 9999,0,,"Finance, Insurance, Real Estate",621105,Investment Securities,621101,Stock & Bond Brokers,621104,Mutual Funds,A+,100,Subsidiary,"40,000+"
Zions Bancorporation,Salt Lake City,UT,84111-1904,Salt Lake City,1 S Main St # 1134,84111-1904,Salt Lake,8.02E+09,8.02E+09,www.zionsbank.com,Simmons,Harris H,CEO,Male,8026,5000 to 9999,3.15E+10,Over $1 Billion,"Finance, Insurance, Real Estate",671201,Holding Companies (Bank),602101,Banks,614101,Loans,A+,100,Headquarter,"40,000+"
SLM Corp,Reston,VA,20190-5684,Reston,12061 Bluemont Way,20190-5684,Fairfax,7.04E+09,7.04E+09,www.salliemae.com,Lord,Albert L,CEO,Male,7500,5000 to 9999,2.73E+09,Over $1 Billion,"Finance, Insurance, Real Estate",673202,Scholarship Programs,614101,Loans,671901,Holding Companies (Non-Bank),A+,100,Headquarter,"40,000+"
Luby's Inc,San Antonio,TX,78265-3069,13111 Northwest Fwy # 600,Houston,77040-6392,Harris,7.13E+09,,www.lubys.com,Pappas,Christopher,CEO,Male,7400,5000 to 9999,3.09E+08,$100 - 500 Million,"Finance, Insurance, Real Estate",671902,Restaurant Holding Companies,581208,Restaurants,581213,Cafeterias,A+,100,Headquarter,"40,000+"
Advance America Cash Advance,Spartanburg,SC,29306-5138,Spartanburg,135 N Church St,29306-5138,Spartanburg,8.64E+09,8.64E+09,www.advanceamerica.net,Compton,Kenneth E,CEO,Male,6500,5000 to 9999,6.30E+08,$500 Million - $1 Billion,"Finance, Insurance, Real Estate",609903,Check Cashing Service,609903,Check Cashing Service,874213,Marketing Programs & Services,A+,100,Headquarter,"40,000+"
Trammell Crow Co,Dallas,TX,75201-2998,2001 Ross Ave # 3400,Dallas,75201-2998,Dallas,2.15E+09,2.15E+09,www.trammelcrow.com,Sulentic,Robert E,CEO,Male,6000,5000 to 9999,4.46E+08,$100 - 500 Million,"Finance, Insurance, Real Estate",653135,Real Estate Support Services,154106,General Contrs-Industrial Bldgs & Wrhse,154299,General Contractors-Nonresidential Bldgs,C+,75,Headquarter,"40,000+"
SCANA Corp,Columbia,SC,29201-5804,Columbia,1426 Main St,29201-5804,Richland,8.03E+09,,www.scana.com,Timmerman,William B,CEO,Male,5628,5000 to 9999,4.78E+09,Over $1 Billion,"Finance, Insurance, Real Estate",671904,Utilities-Holding Companies,492398,Natural Gas Transmission & Distribution,492503,Gas Producers,A+,100,Headquarter,"40,000+"
First Health Strategies,Salt Lake City,UT,84119-2031,Salt Lake City,2650 Decker Lake Ln,84119-2031,Salt Lake,8.02E+09,8.02E+09,www.firsthealth.com,Murry,John,Exec VP,Male,5300,5000 to 9999,0,,"Finance, Insurance, Real Estate",641102,Insurance Adjusters,641102,Insurance Adjusters,641122,Insurance-Plan Administrators,A+,100,Subsidiary,"40,000+"
Associated Banc-Corp,Green Bay,WI,54304-5448,Green Bay,1200 Hansen Rd,54304-5448,Brown,9.20E+09,9.20E+09,www.associatedbank.com,Beideman,Paul S,CEO,Male,5158,5000 to 9999,1.64E+10,Over $1 Billion,"Finance, Insurance, Real Estate",671201,Holding Companies (Bank),671201,Holding Companies (Bank),,,A+,100,Headquarter,"40,000+"
Lincoln Property Co Commercial,Dallas,TX,75201-3394,500 N Akard St # 3300,Dallas,75201-3394,Dallas,2.15E+09,2.15E+09,www.lincolncommercial.com,Duvall,William C,President,Male,4800,1000 to 4999,1.00E+09,Over $1 Billion,"Finance, Insurance, Real Estate",653118,Real Estate,651303,Apartments,653108,Real Estate Management,A+,100,Headquarter,"40,000+"
Sentry Insurance Group,Stevens Point,WI,54481-1283,Stevens Point,1800 Northpoint Dr,54481-1283,Portage,7.15E+09,7.15E+09,www.sentry.com,Schuh,Dale R,CEO,Male,4500,1000 to 4999,2.09E+09,Over $1 Billion,"Finance, Insurance, Real Estate",641112,Insurance,614101,Loans,631198,Life Insurance (Underwriters),A+,100,Headquarter,"40,000+"
Freddie Mac,Mc Lean,VA,22102-3110,Mc Lean,8200 Jones Branch Dr,22102-3110,Fairfax,7.04E+09,7.04E+09,www.freddiemac.com,Syron,Richard F,CEO,Male,4400,1000 to 4999,7.37E+09,Over $1 Billion,"Finance, Insurance, Real Estate",611101,Federal/Federally Sponsored Credit Agncs,611101,Federal/Federally Sponsored Credit Agncs,616201,Real Estate Loans,I,0,Headquarter,"40,000+"
American National Insurance Co,Galveston,TX,77550-7960,1 Moody Plz,Galveston,77550-7960,Galveston,4.10E+09,4.10E+09,www.anico.com,Mc Leod,E Douglas,Director,Male,4300,1000 to 4999,2.88E+09,Over $1 Billion,"Finance, Insurance, Real Estate",641112,Insurance,641109,Insurance-Life (Agents),631101,Insurance-Savings-Bank-Life,A+,100,Headquarter,"40,000+"
Northwestern Mutual Life Ins,Milwaukee,WI,53201-3092,Milwaukee,720 E Wisconsin Ave,53202-4703,Milwaukee,4.14E+09,4.15E+09,www.northwesternmutual.com,Zore,Edward J,CEO,Male,4300,1000 to 4999,1.78E+10,Over $1 Billion,"Finance, Insurance, Real Estate",641112,Insurance,631198,Life Insurance (Underwriters),874213,Marketing Programs & Services,A+,100,Headquarter,"40,000+"
Discover Card,Salt Lake City,UT,84130-0943,West Valley,2500 Lake Park Blvd,84120-8219,Salt Lake,8.02E+09,8.02E+09,www.discover.com,Stedman,Dan,Manager,Male,4000,1000 to 4999,0,,"Finance, Insurance, Real Estate",615302,Credit Card & Other Credit Plans,615302,Credit Card & Other Credit Plans,,,A+,100,Branch,"40,000+"
Blue Cross & Blue Shield Of Wi,Milwaukee,WI,53201-2025,Milwaukee,401 W Michigan St,53203-2896,Milwaukee,4.14E+09,4.14E+09,www.bluecrosswisconsin.com,Campbell,Stuart,President,Male,4000,1000 to 4999,0,,"Finance, Insurance, Real Estate",641112,Insurance,591202,Health Care Products,641109,Insurance-Life (Agents),A+,100,Subsidiary,"40,000+"
John L Scott Real Estate,Bellevue,WA,98007-6407,Bellevue,3380 146th Pl SE # 450,98007-6407,King,4.26E+09,2.06E+09,www.johnlscott.com,Scott,J Lennox,CEO,Male,3800,1000 to 4999,0,,"Finance, Insurance, Real Estate",653118,Real Estate,653117,Real Estate Consultants,,,A+,100,Headquarter,"40,000+"
Hilb Rogal & Hobbs Co,Glen Allen,VA,23060-1220,Glen Allen,4951 Lake Brook Dr # 500,23060-9274,Henrico,8.05E+09,8.05E+09,www.hrh.com,Vaughan Iii,Martin L,CEO,Male,3600,1000 to 4999,6.20E+08,$500 Million - $1 Billion,"Finance, Insurance, Real Estate",641104,Insurance Consultants & Advisors,635102,Bonds-Surety & Fidelity,641112,Insurance,A+,100,Headquarter,"2,500 - 9,999"
WPS Health Insurance,Monona,WI,53713-1895,Monona,1717 W Broadway,53713-1895,Dane,6.08E+09,6.08E+09,www.northstareconomics.com,Reardon,James,CEO,Male,3500,1000 to 4999,32336000,$20 - 50 Million,"Finance, Insurance, Real Estate",632402,Hospitalization Plans-Medical & Surgical,632402,Hospitalization Plans-Medical & Surgical,641112,Insurance,A+,98,Single Loc,"40,000+"
Morgan Keegan & Co Inc,Memphis,TN,38103-1151,Memphis,50 N Front St # 17,38103-1151,Shelby,9.02E+09,9.02E+09,www.morgankeegan.com,Edwards,G Douglas,CEO,Male,3300,1000 to 4999,0,,"Finance, Insurance, Real Estate",621101,Stock & Bond Brokers,616201,Real Estate Loans,621105,Investment Securities,A+,100,Subsidiary,"2,500 - 9,999"
WPS Resources Corp,Green Bay,WI,54307-9001,Green Bay,700 N Adams St,54301-5145,Brown,9.20E+09,9.20E+09,www.wpsr.com,Weyers,Larry L,CEO,Male,3080,1000 to 4999,4.89E+09,Over $1 Billion,"Finance, Insurance, Real Estate",671904,Utilities-Holding Companies,491101,Electric Companies,492501,Gas Companies,A+,100,Headquarter,"40,000+"
RBC Mortgage Co,Houston,TX,77040-6339,13100 Northwest Fwy # 200,Houston,77040-6339,Harris,7.14E+09,,www.rbc.com,Threadgill,Johathan,CEO,Male,3000,1000 to 4999,1.51E+08,$100 - 500 Million,"Finance, Insurance, Real Estate",616201,Real Estate Loans,616201,Real Estate Loans,,,A+,100,Subsidiary,"40,000+"
